Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Milwaukee Bucks,29.2,52,9,50,11,12.26,-1.16,11.11,113.1,101.5,+11.6,104.9,.266,.421,.585,.555,12.7,20.9,.197,.484,12.1,81.7,.170,Fiserv Forum,531341,17711
2,Los Angeles Lakers,29.6,47,13,43,17,7.50,0.03,7.53,113.3,105.9,+7.4,100.8,.267,.353,.579,.550,13.2,24.8,.194,.511,13.8,78.5,.200,STAPLES Center,550913,18997
3,Los Angeles Clippers,27.4,42,19,42,19,6.34,0.17,6.51,113.4,107.2,+6.2,101.8,.289,.367,.574,.532,12.8,24.0,.229,.504,12.4,77.1,.206,STAPLES Center,591108,19068
4,Boston Celtics,25.3,41,19,42,18,6.53,-0.54,5.99,113.2,106.6,+6.6,99.4,.256,.382,.570,.531,12.1,23.7,.205,.508,13.6,77.5,.214,TD Garden,572552,19085
5,Toronto Raptors,26.6,43,18,42,19,6.41,-0.52,5.90,111.5,105.1,+6.4,100.7,.253,.414,.572,.535,12.8,21.9,.202,.503,14.7,76.0,.201,Scotiabank Arena,633456,19796
6,Dallas Mavericks,26.1,37,25,42,20,6.02,-0.30,5.71,117.0,110.9,+6.1,99.0,.260,.460,.582,.548,11.3,23.7,.202,.517,10.7,77.0,.178,American Airlines Center,600641,20021
7,Houston Rockets,29.1,39,21,38,22,4.63,0.05,4.68,114.3,109.8,+4.5,103.5,.285,.490,.580,.540,12.4,22.3,.225,.526,13.4,75.6,.189,Toyota Center,524293,18079
8,Denver Nuggets,25.6,41,20,37,24,3.18,0.02,3.20,112.7,109.5,+3.2,97.2,.236,.338,.563,.530,12.1,25.0,.183,.525,12.9,77.1,.195,Pepsi Center,613315,19166
9,Utah Jazz,27.5,38,22,36,24,3.22,-0.02,3.20,112.7,109.5,+3.2,98.8,.271,.401,.587,.553,13.7,21.3,.209,.515,10.8,79.5,.181,Vivint Smart Home Arena,549180,18306
10,Miami Heat,25.8,39,22,37,24,3.49,-0.52,2.97,112.9,109.4,+3.5,98.3,.300,.409,.587,.548,13.3,20.6,.234,.522,12.3,79.9,.208,AmericanAirlines Arena,590571,19686
11,Oklahoma City Thunder,25.6,37,24,35,26,2.07,0.42,2.48,111.4,109.3,+2.1,98.6,.291,.346,.575,.532,12.3,19.4,.233,.521,12.4,76.9,.165,Chesapeake Energy Arena,600699,18203
12,Philadelphia 76ers,26.4,37,25,35,27,1.82,0.26,2.08,109.6,107.8,+1.8,99.0,.251,.358,.560,.528,12.8,23.4,.188,.519,12.8,80.2,.211,Wells Fargo Center,619319,20644
13,Indiana Pacers,25.6,37,24,35,26,2.28,-0.66,1.61,110.6,108.3,+2.3,98.3,.217,.314,.565,.533,11.8,20.4,.171,.514,12.9,77.3,.194,Bankers Life Fieldhouse,511949,16514
14,New Orleans Pelicans,25.5,26,35,28,33,-1.11,1.10,-0.01,111.0,112.0,-1.0,103.7,.252,.408,.568,.539,13.6,24.1,.185,.532,12.3,77.9,.206,Smoothie King Center,509788,16445
15,Brooklyn Nets,26.5,27,33,29,31,-0.43,-0.59,-1.03,108.1,108.5,-0.4,101.2,.264,.420,.550,.516,13.3,23.6,.196,.506,11.0,77.5,.182,Barclays Center,475773,16406
16,San Antonio Spurs,28.0,26,34,27,33,-1.65,0.60,-1.05,111.8,113.4,-1.6,99.8,.253,.320,.568,.529,11.1,20.0,.204,.541,11.5,79.2,.193,AT&T Center,532161,18350
17,Phoenix Suns,24.7,24,38,28,34,-1.48,0.19,-1.29,109.9,111.3,-1.4,101.4,.273,.357,.569,.526,13.3,22.0,.224,.540,14.1,78.2,.223,Talking Stick Resort Arena,517829,15557
18,Portland Trail Blazers,27.5,27,35,27,35,-1.95,0.66,-1.30,112.0,114.0,-2.0,100.8,.236,.370,.563,.527,11.4,22.1,.189,.523,11.0,75.1,.204,Moda Center,569826,19649
19,Orlando Magic,26.0,27,34,27,34,-1.62,0.14,-1.48,107.0,108.7,-1.7,98.2,.246,.363,.534,.498,11.3,22.3,.189,.533,13.5,78.9,.167,Amway Center,529870,17093
20,Sacramento Kings,27.1,27,34,27,34,-1.85,0.37,-1.48,109.4,111.2,-1.8,98.4,.231,.395,.561,.529,12.9,21.9,.176,.538,13.8,78.4,.223,Golden 1 Center,488729,16853
21,Memphis Grizzlies,24.0,30,31,28,33,-1.57,0.08,-1.49,109.3,110.8,-1.5,103.0,.231,.338,.561,.529,13.1,22.9,.177,.524,12.6,77.8,.214,FedEx Forum,490792,15832
22,Minnesota Timberwolves,24.9,18,42,23,37,-4.15,0.54,-3.61,108.1,112.1,-4.0,103.4,.277,.434,.550,.513,12.9,22.2,.209,.538,13.2,77.0,.219,Target Center,420016,14483
23,Chicago Bulls,24.4,21,40,24,37,-3.10,-0.61,-3.70,106.7,109.8,-3.1,99.7,.235,.398,.548,.516,13.8,22.7,.177,.545,16.0,75.5,.235,United Center,601286,18790
24,Detroit Pistons,25.9,20,42,25,37,-3.10,-0.76,-3.86,109.2,112.3,-3.1,97.8,.262,.378,.562,.530,13.9,22.9,.195,.539,12.7,76.0,.183,Little Caesars Arena,477741,15256
25,Washington Wizards,25.5,22,38,23,37,-4.00,-0.68,-4.68,112.1,115.9,-3.8,103.1,.266,.359,.568,.530,12.0,22.0,.209,.559,13.8,74.5,.228,Capital One Arena,481663,16609
26,New York Knicks,24.5,19,42,18,43,-6.64,0.08,-6.56,106.1,112.8,-6.7,98.6,.260,.322,.528,.499,12.6,25.9,.179,.542,12.4,78.2,.221,Madison Square Garden (IV),566341,18878
27,Atlanta Hawks,24.1,19,44,17,46,-8.11,0.77,-7.34,106.7,114.5,-7.8,103.3,.259,.396,.553,.513,13.9,21.3,.205,.541,12.8,74.7,.231,State Farm Arena,515661,16114
28,Charlotte Hornets,24.4,21,40,17,44,-7.41,-0.12,-7.53,105.3,112.9,-7.6,96.2,.249,.397,.533,.500,13.4,23.9,.185,.544,13.0,74.6,.160,Spectrum Center,446121,15370
29,Cleveland Cavaliers,24.9,17,44,16,45,-8.31,0.32,-7.99,107.2,115.6,-8.4,98.8,.222,.362,.551,.520,14.5,24.5,.169,.561,11.6,77.5,.162,Quicken Loans Arena,569252,17250
30,Golden State Warriors,24.4,14,48,15,47,-8.68,0.54,-8.13,104.7,113.3,-8.6,100.4,.261,.350,.539,.495,13.3,21.6,.210,.551,13.9,76.2,.190,Chase Center,559984,18064
,League Average,26.2,,,30,31,0.00,0.00,0.00,110.3,110.3,,100.3,.257,.381,.563,.527,12.8,22.6,.198,.527,12.8,77.4,.198,,541406,17748