2019-2020 NBA Player Stats | NBAstuffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tim Hardaway Jr.,Dal,G,27.97,59,28.1,58.6,21.7,6.8,141,0.801,310,0.487,414,0.403,0.555,0.583,15.5,3.1,5.7,1.9,10.3,0.61,0.07,0.97,6.4,116,109.4
,James Harden,Hou,G,30.52,57,36.8,76.8,36.4,13.4,670,0.867,579,0.541,730,0.358,0.538,0.62,34.9,6.3,8.9,7.4,34.2,1.72,0.91,4.37,12.8,120.7,103.3
,Maurice Harkless,Lac,F-G,26.81,50,22.8,47.5,10.3,16.3,42,0.571,144,0.59,73,0.37,0.578,0.584,5.5,4,9.1,1,5.5,0.96,0.6,0.92,4.9,108.6,99.4
,Maurice Harkless,Nyk,F-G,26.81,7,25.3,52.8,13,11,15,0.6,24,0.542,18,0.389,0.56,0.576,8,4.3,9,1.7,9.5,0.86,0.43,0.86,6.1,115.2,105.5
,Jared Harper,Pho,G,22.47,3,2.6,5.5,21.5,0,0,0,2,0.5,2,0,0.25,0.25,0.7,0,0,0,0,0,0,0,0,,
,Montrezl Harrell,Lac,F-C,26.1,60,27.9,58.1,25.6,10.1,328,0.652,766,0.591,16,0,0.579,0.605,18.7,7.1,13.1,1.7,10.5,0.67,1.1,1.73,8.7,118.2,102
,Gary Harris,Den,G,25.47,52,31.9,66.4,15.1,9.7,82,0.829,290,0.469,196,0.316,0.471,0.504,10.1,2.9,5.1,2.2,9.1,1.29,0.25,1.08,5,102.7,107.5
,Joe Harris,Bro,G-F,28.49,59,31.1,64.7,17.8,11.2,79,0.734,311,0.524,347,0.409,0.571,0.585,13.7,4.3,7.2,2.1,10.3,0.59,0.25,1.47,6.4,111.1,106
,Shaquille Harrison,Chi,G,26.41,39,9.1,19,19.3,10.5,40,0.775,97,0.505,30,0.267,0.48,0.529,3.9,1.6,9.4,0.9,15.4,0.62,0.33,0.44,7.8,108.8,101.4
,Tobias Harris,Phi,F,27.63,62,34.6,72,23.4,8,181,0.801,682,0.523,305,0.364,0.53,0.559,19.2,6.7,10.6,3.1,14.4,0.76,0.55,1.5,8.5,111.3,104.9
,Isaiah Hartenstein,Hou,C-F,21.83,23,11.6,24.1,14.8,16.8,28,0.679,62,0.71,5,0,0.657,0.674,4.7,3.9,17.7,0.8,9.8,0.39,0.52,0.7,8.4,127.7,95.1
,Josh Hart,Nor,G,25,54,27.7,57.7,15.1,10.9,85,0.741,146,0.582,309,0.35,0.543,0.566,10.3,6.5,12.3,1.7,8.3,1.04,0.37,1.11,7,110.8,104.5
,Udonis Haslem,Mia,F,39.73,3,6.9,14.3,16.6,0,4,0.75,4,0.25,2,0,0.167,0.322,1.7,2.7,21.7,0.3,6.3,0,0,0,6.4,79.3,92.5
,Jaxson Hayes,Nor,C-F,19.78,55,17.2,35.9,15.2,11.6,173,0.63,231,0.667,4,0.25,0.662,0.675,7.6,4.1,12.5,0.9,7.5,0.42,0.98,0.75,7.1,130,100.5
,Gordon Hayward,Bos,F,29.95,43,33.2,69.2,20.7,11.1,103,0.854,394,0.556,175,0.383,0.562,0.592,16.9,6.5,10.5,4.1,19,0.74,0.4,1.79,9.2,117.6,105.6
,John Henson,Cle,F-C,29.18,29,14.2,29.6,16.1,13.5,33,0.515,89,0.618,31,0.194,0.533,0.539,5,3.9,15.4,1.5,15.3,0.55,1.1,0.72,8.7,111.2,101.7
,John Henson,Det,F-C,29.18,8,17.6,36.6,15.8,19.7,11,0.455,33,0.697,3,0.333,0.681,0.661,6.8,4.9,15.7,1,8.8,0.88,1.25,1.25,7.3,114.4,100.9
,Dewan Hernandez,Tor,C-F,23.23,4,2.9,5.9,25.8,14.5,2,1,4,0.25,1,0,0.2,0.34,1,1.8,32.4,0,0,0.25,0,0.25,0,,
,Juancho Hernangomez,Den,F,24.43,34,12.4,25.9,14.3,12.9,25,0.64,50,0.46,60,0.25,0.414,0.442,3.1,2.8,12.5,0.6,6.7,0.15,0.15,0.53,5.6,94.3,106.5
,Juancho Hernangomez,Min,F,24.43,10,29.3,60.9,18.3,8.5,36,0.611,55,0.473,48,0.458,0.573,0.589,14,6.9,12.4,1.4,7.2,1,0.4,1.1,7,115.3,106.6
,Willy Hernangomez,Cha,C-F,25.77,29,11.5,24,23.6,16.1,57,0.632,105,0.581,21,0.238,0.544,0.573,6,4.1,19.1,1,14.7,0.34,0.24,1,10.1,108,102.4
,Tyler Herro,Mia,G,20.12,46,27.7,57.6,22,11.3,79,0.835,277,0.433,252,0.393,0.508,0.535,13.1,4,8.2,2,11.1,0.63,0.15,1.57,6.8,100.2,108.6
,Kevin Hervey,Okc,F,23.65,7,2.8,5.8,24.9,0,0,0,3,0.333,8,0,0.091,0.091,0.3,0.3,5.7,0.1,6.6,0,0,0,3,,
,Mario Hezonja,Por,F-G,25.02,43,16.3,33.9,13.5,13.5,51,0.824,114,0.474,56,0.268,0.45,0.507,4.5,3.6,11.3,0.9,6.9,0.6,0.14,0.7,6,102.1,102.6
,Buddy Hield,Sac,G,26.21,61,32.3,67.3,27,11.7,131,0.855,430,0.481,591,0.387,0.539,0.562,19.9,4.9,8.5,3.1,16,0.9,0.28,2.34,8.3,106.7,108
,George Hill,Mil,G,33.83,51,21.3,44.4,15.8,11.8,83,0.831,181,0.575,150,0.487,0.645,0.675,9.7,3,6.9,2.9,18.5,0.8,0.08,0.96,8.2,132,98.9
,Solomon Hill,Mem,F,28.96,48,18.8,39.1,13.3,13.9,38,0.684,86,0.465,146,0.384,0.534,0.551,5.7,3,8.4,2,13.3,0.65,0.15,0.83,6.9,108.9,106.9
,Solomon Hill,Mia,F,28.96,3,7.6,15.8,15.4,12.5,0,0,3,0.333,4,0.25,0.357,0.357,1.7,1,7.4,0,0,0.67,0,0.33,0,78.4,102.1
,Jaylen Hoard,Por,F,20.93,13,7.9,16.5,17.2,9.6,13,0.615,29,0.517,3,0,0.469,0.504,2.9,2.5,16.1,0.3,5.4,0.38,0,0.31,6.6,111.8,103.4
,Aaron Holiday,Ind,G,23.42,54,23,48,20,12.2,64,0.875,273,0.418,194,0.407,0.498,0.526,9.6,2.2,5.3,3.4,20.5,0.76,0.22,1.28,7.2,105.4,105.7
,Jrue Holiday,Nor,G,29.73,52,34.8,72.6,24.9,14.1,155,0.697,579,0.496,300,0.353,0.507,0.528,19.2,4.8,7.2,6.9,29.8,1.65,0.83,3,9.9,107,109.6
,Justin Holiday,Ind,F-G,30.91,61,25.1,52.2,13.3,7.4,58,0.776,133,0.474,269,0.424,0.582,0.6,8.4,3.2,7.1,1.4,7.5,1.11,0.62,0.56,5.3,117.5,104.5
,Rondae Hollis-Jefferson,Tor,F,25.16,49,19.7,40.9,17.3,12.1,127,0.732,269,0.498,17,0.118,0.479,0.537,7.5,4.9,13.2,1.8,12.9,0.86,0.45,0.96,8.2,114.7,97
,Richaun Holmes,Sac,F,26.38,37,29.4,61.2,15.9,11.6,93,0.817,310,0.658,0,0,0.658,0.69,13.1,8.5,16.3,1,5.3,1.05,1.41,1.24,6.5,131.7,98.9
,Rodney Hood,Por,G-F,27.37,21,29.5,61.4,13.9,9.4,27,0.778,101,0.515,71,0.493,0.608,0.625,11,3.4,6,1.5,7.1,0.81,0.19,0.9,5.2,120.7,111.7
,Al Horford,Phi,C-F,33.75,57,30.6,63.8,17.4,8.4,69,0.739,366,0.503,247,0.328,0.498,0.514,11.6,6.7,12.1,3.9,18.6,0.95,0.91,1.04,8.8,112.3,103.8
,Talen Horton-Tucker,Lal,G,19.27,2,2.7,5.5,8,0,0,0,0,0,1,0,0,0,0,0,0,1,42.2,0.5,0,0,0,,
,Danuel House Jr.,Hou,F-G,26.74,54,30.5,63.5,13.5,8.4,83,0.795,160,0.531,297,0.37,0.547,0.573,10.5,4.4,7.5,1.3,5.6,1.11,0.56,0.83,5.1,115.6,107.3
,Dwight Howard,Lal,C-F,34.24,60,19.6,40.8,14.5,17.5,180,0.494,250,0.74,5,0.6,0.743,0.7,7.8,7.6,21,0.7,4.7,0.45,1.27,1.18,7.1,125.4,90.2
,William Howard,Hou,F-G,26.36,2,6.7,13.9,15.5,20,0,0,0,0,4,0,0,0,0,1,7.8,0.5,8.8,0,0,0.5,0,14,107.4
,Kevin Huerter,Atl,G-F,21.52,52,31,64.5,17.3,12,64,0.828,255,0.447,309,0.388,0.521,0.541,12.3,4.2,7.2,3.5,16.6,0.9,0.48,1.56,7.3,106.9,111.7
,De'Andre Hunter,Atl,F-G,22.26,59,31.9,66.4,17.5,11.8,130,0.777,358,0.461,286,0.353,0.491,0.523,12.4,4.3,7.3,1.8,8.1,0.73,0.31,1.59,5.7,99.7,110.9
,Chandler Hutchison,Chi,F-G,23.85,28,18.8,39.2,19.1,11.4,78,0.59,137,0.496,38,0.316,0.491,0.521,7.8,3.9,11.3,0.9,7.4,0.96,0.25,0.96,6.4,100.9,103.2
,Serge Ibaka,Tor,F,30.46,47,27.1,56.5,24.4,12.9,111,0.73,433,0.564,152,0.388,0.568,0.588,15.9,8,15.6,1.3,8.1,0.51,0.83,2,8.1,108.2,96.9
,Andre Iguodala,Mia,G-F,36.1,10,18.3,38,12.5,27,4,0.25,17,0.588,19,0.368,0.569,0.556,4.2,3.9,12,1.8,13.6,0.3,0.9,1.4,6.8,99.7,101.8
,Ersan Ilyasova,Mil,F,32.8,54,16,33.3,16.8,8.8,75,0.827,165,0.545,123,0.374,0.552,0.592,7,4.9,15,0.9,7.1,0.41,0.26,0.57,7.8,119.3,93
,Joe Ingles,Uta,F-G,32.42,60,30,62.5,15,18.5,81,0.79,175,0.497,293,0.392,0.554,0.579,9.7,4,7.2,5.2,23.7,0.82,0.13,1.9,7.8,114.1,105
,Brandon Ingram,Nor,F,22.5,53,34.1,71,28.4,12.9,320,0.863,616,0.513,336,0.393,0.54,0.597,24.6,6.2,9.5,4.3,19.9,1,0.64,3.06,10.2,113.1,107.2
,Kyrie Irving,Bro,G,27.95,20,32.9,68.5,32.6,10.1,102,0.922,274,0.522,142,0.394,0.546,0.595,27.4,5.2,8,6.4,37.2,1.35,0.5,2.6,11.8,118.9,103.3
,Jonathan Isaac,Orl,F,22.42,32,29.7,61.8,18.3,11.7,73,0.767,231,0.515,91,0.33,0.509,0.542,12,6.9,12.5,1.4,7.1,1.56,2.44,1.47,6.6,105.2,101.1
,Wes Iwundu,Orl,F,25.2,42,17.9,37.3,13,7.9,70,0.814,115,0.417,63,0.317,0.438,0.51,5.1,2.5,7.4,1,8.2,0.6,0.24,0.43,5.2,108.6,104.5
,Jaren Jackson Jr.,Mem,F-C,20.47,54,28,58.3,23.9,10.8,166,0.741,361,0.535,340,0.397,0.564,0.59,16.9,4.7,8.8,1.4,7.4,0.65,1.61,1.74,6.9,108.8,100.5
,Frank Jackson,Nor,G,21.83,48,12.7,26.4,20.4,13.2,59,0.763,129,0.457,108,0.315,0.464,0.504,5.5,1.3,5.4,0.8,8.8,0.31,0.08,0.83,5.6,96.9,107.8
,Josh Jackson,Mem,G-F,23.06,14,19.8,41.2,20.4,13.3,29,0.724,60,0.483,45,0.311,0.476,0.514,8.6,3.6,9.7,1.5,10.3,0.93,0.5,1.29,7.3,99,104.3
,Justin Jackson,Dal,F,24.94,54,15.8,32.9,16.2,3.7,40,0.825,152,0.493,141,0.291,0.466,0.493,5.7,2.4,8.1,0.7,5.8,0.2,0.13,0.22,5.4,106.7,108.3
,Reggie Jackson,Det,G,29.88,14,27.2,56.7,26.9,9.8,33,0.788,116,0.388,82,0.378,0.462,0.492,14.9,2.9,6.1,5.1,30.7,0.57,0.07,1.64,8.9,105.8,112.1
,Reggie Jackson,Lac,G,29.88,6,20.7,43,17.7,19,6,1,18,0.611,22,0.409,0.613,0.645,9.2,3.5,8.8,4,27.6,0.33,0.5,1.67,9.8,121.6,100.9
,Justin James,Sac,G-F,23.11,32,6.8,14.1,18.9,7.4,21,0.476,52,0.462,26,0.346,0.481,0.487,2.7,0.9,7.8,0.5,10.9,0.19,0.28,0.22,6.3,101.3,108.2
,LeBron James,Lal,F,35.17,57,34.9,72.7,31.5,15.5,309,0.693,757,0.567,359,0.351,0.554,0.579,25.4,7.8,12.2,10.7,49.8,1.23,0.49,4.04,14.7,115.9,103.6
,Amile Jefferson,Orl,F,26.83,18,4.1,8.6,13.5,13,14,0.357,14,0.357,0,0,0.357,0.372,0.8,1.3,16.5,0.2,7.3,0.06,0.17,0.17,5.8,93.3,102.5
,DaQuan Jeffries,Sac,G-F,22.51,6,3.2,6.7,15.7,0,0,0,3,0.667,4,0.25,0.5,0.5,1.2,0.2,2.9,0.2,7.6,0.17,0,0,4.5,,
,Ty Jerome,Pho,G-F,22.66,25,10.9,22.7,18.8,15,14,0.786,56,0.411,40,0.275,0.411,0.44,3.6,1.6,8,1.6,20.4,0.56,0.12,0.72,7.7,92.2,104.2
,Alize Johnson,Ind,F,23.86,12,4.2,8.7,17.2,10.2,6,0.667,15,0.467,0,0,0.467,0.51,1.5,1.5,19.8,0.2,5.4,0,0,0.17,7.3,112,98.7
,BJ Johnson,Orl,F,24.2,8,5.8,12,20.5,13.7,2,1,12,0.333,6,0.167,0.306,0.344,1.6,0.8,6.9,0.3,6.2,0.25,0,0.38,5,69.1,112.6
,Cameron Johnson,Pho,F,24,49,20.3,42.3,16,7.7,46,0.761,96,0.469,229,0.397,0.558,0.576,8.1,2.9,7.8,1.1,7.4,0.59,0.33,0.59,5.8,113.2,108.2
,James Johnson,Mia,F,33.03,18,15.6,32.5,16.9,13.9,14,0.571,42,0.548,45,0.356,0.54,0.547,5.7,2.9,10.3,1.2,11,0.33,0.72,0.83,6.9,102.8,99.7
,James Johnson,Min,F,33.03,10,24.7,51.4,21.2,19.6,28,0.679,61,0.607,29,0.31,0.561,0.586,12,4.9,10.4,3.4,21.4,1.3,1.4,2.5,9.5,106.5,99.4
,Keldon Johnson,San,F-G,20.4,6,6.8,14.1,23.5,9.1,2,0.5,16,0.5,3,0.333,0.5,0.503,3.3,1,8,0.7,15.4,0.17,0.17,0.33,7.8,101.6,113
,Stanley Johnson,Tor,F-G,23.76,20,4.8,10,18.5,19.2,6,0.833,18,0.333,13,0.154,0.29,0.342,1.2,1.1,12,0.4,11,0.2,0.1,0.4,6.7,71.6,96.2
,Tyler Johnson,Pho,G,27.82,31,16.6,34.6,17.2,11.5,32,0.75,88,0.466,83,0.289,0.45,0.481,5.7,1.7,5.6,1.6,13.5,0.39,0.26,0.77,6,97.7,107.9
,Nikola Jokic,Den,C,25.04,61,32.4,67.4,26.9,15,261,0.816,711,0.594,214,0.327,0.57,0.609,20.8,10.2,17.5,6.8,34.3,1.21,0.69,3.02,13.9,119.7,99.9
,Derrick Jones Jr.,Mia,F,23.05,47,24.3,50.7,14.1,7.1,105,0.8,181,0.646,114,0.272,0.554,0.602,8.7,4.1,9.5,1.1,6.4,1.06,0.66,0.55,5.6,122.9,102.6
,Damian Jones,Atl,C,24.68,54,16.3,34.1,11.4,11.5,84,0.738,169,0.704,9,0.222,0.685,0.712,5.7,3.8,12.5,0.6,5.5,0.48,0.74,0.52,5.8,136.6,101
,Tyus Jones,Mem,G,23.81,61,18.9,39.4,16.9,11.3,50,0.72,284,0.504,109,0.367,0.517,0.533,7.2,1.6,4.3,4.4,31.8,0.89,0.1,0.87,7.8,115.7,113
,DeAndre Jordan,Bro,C,31.62,52,22,45.7,14.1,18.5,112,0.696,264,0.67,0,0,0.67,0.689,8.3,10,23.4,1.9,12.9,0.35,0.94,1.37,9.8,127.4,97.3
,Cory Joseph,Sac,G,28.54,61,24.3,50.7,13.1,13.7,54,0.815,231,0.459,130,0.362,0.489,0.516,6.5,2.6,6,3.4,19.4,0.72,0.3,1,6.4,111.1,108.5
,Mfiondu Kabengele,Lac,F-C,22.55,12,5.4,11.2,23.4,5.5,5,1,12,0.417,20,0.45,0.578,0.614,3.5,0.9,8.8,0.2,4.8,0.17,0.17,0.17,6.4,118.8,95.8
,Frank Kaminsky,Pho,F-C,26.92,32,22.4,46.7,20.8,9.4,88,0.67,167,0.527,112,0.348,0.525,0.554,11,4.9,12.2,2.2,14.8,0.44,0.31,1.03,8.8,110.8,104.3
,Enes Kanter,Bos,C,27.79,47,18.1,37.7,19.3,13.2,84,0.702,290,0.586,7,0.143,0.577,0.602,8.6,7.9,23.5,1,8.1,0.43,0.79,1.09,9,120.4,96.5
,Luke Kennard,Det,G,23.69,28,32.9,68.6,19.7,10.3,75,0.893,159,0.491,183,0.399,0.548,0.589,15.8,3.5,6,4.1,19.1,0.43,0.21,1.54,7.4,117.3,110.4
,Michael Kidd-Gilchrist,Cha,F,26.44,12,13.3,27.7,17.6,10.9,9,0.778,36,0.361,17,0.294,0.387,0.421,4,2.9,11.9,0.8,9.6,0,0.25,0.58,6.3,91,104.3
,Michael Kidd-Gilchrist,Dal,F,26.44,7,7.7,16.1,6.2,38.1,2,1,3,0.333,1,0,0.25,0.41,0.6,2.3,15.5,0.3,4.4,0.14,0.29,0.43,3.9,84,89.9
,Stanton Kidd,Uta,F,27.96,4,3.8,8,14.3,40,0,0,2,0,1,0,0,0,0,0.8,10.7,0.3,7.8,0,0,0.5,0,,
,Louis King,Det,F,20.91,10,6.2,13,17,8.2,3,0,10,0.4,11,0.364,0.476,0.448,2,1,9.1,0.5,11.7,0.2,0,0.2,6.5,93.2,98.1
,Maxi Kleber,Dal,F,28.09,61,25,52,14.2,8.9,80,0.863,166,0.596,258,0.38,0.58,0.611,9.2,5.4,11.4,1.1,5.9,0.3,1.18,0.74,6.1,123.6,104.8
,Brandon Knight,Cle,G,28.25,16,15.1,31.4,19.1,14.9,13,0.308,22,0.409,64,0.297,0.436,0.431,4.9,1.3,4.6,1.9,17.9,0.31,0.13,1,6.1,89.3,111.9
,Brandon Knight,Det,G,28.25,6,20.1,41.9,25.4,22.7,10,0.7,6,0.5,44,0.409,0.6,0.616,11.2,1.7,4.7,3.7,28.4,0.5,0,2.67,8.2,104.7,106.9
,Kevin Knox II,Nyk,F,20.56,60,18.1,37.7,17.8,9,95,0.653,188,0.399,187,0.326,0.444,0.474,6.6,2.8,8.1,1,7.5,0.33,0.38,0.68,5.8,97.6,108.3
,John Konchar,Mem,G,23.95,11,9.6,20.1,10.6,7.4,2,0.5,17,0.765,7,0.429,0.729,0.723,3.3,2.5,13.4,1.1,15.3,0.55,0.27,0.18,8.7,149,110.2
,Furkan Korkmaz,Phi,G-F,22.61,61,21.8,45.4,18.5,7.9,65,0.723,191,0.487,305,0.397,0.553,0.568,9.8,2.3,5.8,1,7.1,0.54,0.25,0.74,5.2,108.6,107.2
,Luke Kornet,Chi,C-F,24.64,36,15.5,32.3,16.3,6.6,28,0.714,79,0.646,108,0.287,0.521,0.539,6,2.3,8.3,0.9,8.5,0.31,0.72,0.39,6,111.4,106
,Kyle Korver,Mil,G-F,38.97,47,16.7,34.7,15.3,13.8,31,0.839,48,0.458,189,0.407,0.58,0.6,6.4,2.1,6.1,1.2,9,0.4,0.23,0.85,6.1,109.5,98.5
,Rodions Kurucs,Bro,F,22.07,37,13,27.1,15.1,19.6,24,0.625,68,0.515,61,0.41,0.562,0.573,4.3,2.6,10.1,0.8,9.2,0.46,0.08,0.92,6.4,100.7,96.9
,Kyle Kuzma,Lal,F,24.61,51,24.7,51.4,23.3,11.7,122,0.721,336,0.515,224,0.308,0.494,0.522,12.6,4.3,9.5,1.3,7.6,0.37,0.37,1.59,6.7,100.1,103.2
,Skal Labissiere,Por,F-C,23.96,33,17.2,35.8,14.3,15.7,33,0.758,134,0.582,13,0.231,0.561,0.588,5.8,5.1,15.4,1.3,10.2,0.21,0.94,0.91,7.8,119.7,100.6
,Jeremy Lamb,Ind,G-F,27.76,46,28.1,58.5,19.7,8.7,110,0.836,321,0.508,158,0.335,0.506,0.547,12.5,4.3,8.5,2.1,10.6,1.17,0.48,1.09,6.9,107.9,103
,Romeo Langford,Bos,G-F,20.36,23,10.9,22.6,11.8,10.1,21,0.667,32,0.531,21,0.238,0.462,0.506,2.7,1,4.7,0.2,2.6,0.26,0.26,0.3,3,102.3,103.4
,Zach LaVine,Chi,G-F,24.98,60,34.8,72.4,31.7,13.3,334,0.802,716,0.496,484,0.38,0.526,0.568,25.5,4.8,7.7,4.2,21.8,1.45,0.47,3.43,9.2,106.6,108.3
,Vic Law,Orl,F,24.21,4,1.9,4,16.2,0,2,0,1,0,1,0,0,0,0,0.3,6.9,0,0,0,0,0,0,,
,Jake Layman,Min,F,25.99,19,23,48,17.7,10.6,23,0.696,93,0.495,65,0.338,0.5,0.517,9.2,2.6,5.9,0.7,4.4,0.79,0.47,1.05,4.4,97.5,108.2
,TJ Leaf,Ind,F,22.84,24,7.9,16.5,18.9,8.6,12,0.583,55,0.455,14,0.357,0.471,0.485,3,2.6,18.4,0.3,4.4,0.33,0.13,0.29,6.7,103.3,98.8
,Jalen Lecque,Pho,G,19.72,4,6.6,13.8,19.1,8.4,2,1,6,0.667,4,0,0.4,0.46,2.5,0,0,0.5,10.9,0,0,0.25,0,93.8,112.3
,Courtney Lee,Dal,G,34.42,19,12.2,25.3,12.3,12.1,3,0.667,22,0.591,35,0.429,0.623,0.626,3.8,1.2,5.2,0.5,5.3,0.63,0.21,0.42,4.3,114.2,102.3
,Damion Lee,Gol,G-F,27.37,46,28.7,59.9,18.9,10.6,119,0.882,257,0.459,214,0.35,0.489,0.541,12.3,4.8,9.1,2.7,14.4,1.04,0.13,1.35,7.6,106.9,108.2
,Alex Len,Atl,C,26.72,40,18.6,38.8,18.7,11.9,81,0.63,205,0.624,56,0.25,0.571,0.588,8.7,5.8,16.6,1.1,8.8,0.5,0.83,1,8.2,114.1,103.7
,Alex Len,Sac,C,26.72,6,18.5,38.5,15,15.7,5,0.8,30,0.6,0,0,0.6,0.621,6.7,8.2,24.9,0.7,5.4,0.33,1.83,1,7.3,124.1,97.5
,Kawhi Leonard,Lac,F,28.68,48,32.3,67.4,33.5,10.9,330,0.897,698,0.503,271,0.365,0.515,0.581,27,7.5,12,5.1,27.4,1.83,0.6,2.85,12.5,115.1,101.6
,Meyers Leonard,Mia,C,28.01,49,20.1,42,12,13,26,0.654,104,0.625,119,0.429,0.635,0.64,6.1,5,13.9,1.1,7.7,0.27,0.31,0.71,6.4,116.7,100.4
,Caris LeVert,Bro,G,25.52,35,28.5,59.4,28.9,13,139,0.719,375,0.427,165,0.376,0.469,0.504,17.3,3.7,6.7,3.8,22.3,1.14,0.14,2.57,8.8,99.5,105.6
,Damian Lillard,Por,G,29.64,54,37,77,30.6,11,414,0.889,562,0.525,539,0.393,0.557,0.621,29.5,4.4,6.1,7.9,35,0.96,0.33,2.93,10.9,125,114.9
,Nassir Little,Por,F-G,20.06,45,12.5,26,13.2,8.6,41,0.634,87,0.54,55,0.255,0.479,0.506,3.6,2.4,9.8,0.5,4.9,0.27,0.33,0.33,5.2,107.9,105.3
,Kevon Looney,Gol,F,24.07,20,13.1,27.3,15.9,13.4,12,0.75,65,0.431,14,0.071,0.373,0.403,3.4,3.3,13.6,1,11.2,0.6,0.3,0.65,6.8,92.6,102.1
,Brook Lopez,Mil,C,31.92,58,26.6,55.4,17.6,8.9,116,0.819,275,0.553,271,0.292,0.495,0.533,11,4.5,8.3,1.6,7.8,0.69,2.52,1,6.5,106.2,96.3
,Robin Lopez,Mil,C,31.92,56,14.2,29.5,16.8,15.2,43,0.535,166,0.596,88,0.33,0.561,0.564,5.5,2.4,8.3,0.7,6.3,0.16,0.71,0.88,5.9,103.8,98.1
,Kevin Love,Cle,F,31.49,52,31.3,65.2,23.1,14.6,198,0.848,314,0.535,351,0.379,0.553,0.6,17.4,9.6,17.1,3.1,15.2,0.62,0.35,2.48,10.3,111.9,110.4
