2019-2020 NBA Player Stats | NBAstuffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kyle Lowry,Tor,G,33.94,49,36.5,76.1,23,15.2,276,0.862,296,0.497,398,0.349,0.512,0.582,19.4,4.8,7,7.6,30.7,1.27,0.45,2.98,9.8,115.8,101.1
,Timothe Luwawu-Cabarrot,Bro,G-F,24.82,35,16.2,33.7,15.5,12.3,49,0.816,73,0.438,90,0.378,0.509,0.558,5.9,2.5,7.8,0.5,4.5,0.4,0.11,0.74,4.8,106.7,100.4
,Trey Lyles,San,F,24.33,60,19.6,40.8,13.5,10.1,37,0.703,161,0.509,151,0.371,0.532,0.545,6,5.7,15.6,1.1,7.2,0.43,0.42,0.62,6.8,111.2,106.8
,Daryl Macon,Mia,G,24.26,4,3.5,7.3,15.6,40,0,0,1,0,2,0.5,0.5,0.5,0.8,0,0,0.3,9.5,0,0,0.5,0,,
,J.P. Macura,Cle,G,24.75,1,0.6,1.3,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Josh Magette,Orl,G,30.26,8,4.7,9.9,23.8,23.9,2,0.5,11,0.364,4,0.25,0.367,0.378,1.5,0.8,8.4,0.6,19.5,0.38,0.13,0.63,7.6,71,98.2
,Ian Mahinmi,Was,C,33.33,38,21.3,44.3,15.7,14.7,113,0.619,185,0.535,26,0.192,0.505,0.543,7.4,5.8,14.8,1.3,8.1,0.82,1.16,1.18,7.2,109.9,103.5
,Thon Maker,Det,F-C,23.02,56,12.7,26.4,16,16.9,102,0.667,114,0.579,58,0.345,0.558,0.599,4.6,2.8,12.3,0.7,7.7,0.39,0.63,0.79,6.6,111.8,101.4
,Terance Mann,Lac,G-F,23.37,35,7.7,16.1,11.3,19.1,12,0.75,42,0.452,12,0.25,0.435,0.472,1.6,0.9,6.3,1.1,17.9,0.23,0.14,0.4,6.1,100.8,98
,Boban Marjanovic,Dal,C,31.55,31,9.3,19.3,26.7,12.8,37,0.73,127,0.591,13,0.231,0.568,0.595,6,4.2,23.5,0.4,7.1,0.16,0.23,0.74,9.3,113.9,94.4
,Lauri Markkanen,Chi,F-C,22.78,46,30.3,63.2,21.2,11.1,149,0.826,256,0.516,294,0.344,0.515,0.56,15,6.5,11.8,1.5,7.7,0.85,0.5,1.67,7,107.6,107.2
,Caleb Martin,Cha,F,24.43,14,14.9,31.1,14.5,15.9,7,0.571,34,0.353,21,0.429,0.464,0.473,3.9,2.2,8,1,10,0.36,0.29,0.79,5.5,93.5,104.9
,Cody Martin,Cha,F,24.43,44,17.6,36.6,14.2,15.2,57,0.649,117,0.547,70,0.243,0.479,0.509,4.9,3.2,9.9,1.7,14.2,0.75,0.18,0.86,6.8,103.3,105.4
,Jeremiah Martin,Bro,G,23.71,2,5.5,11.4,15.3,0,0,0,4,0.25,0,0,0.25,0.25,1,0.5,4.7,0.5,12.5,0.5,0,0,4.6,68.6,109.8
,Kelan Martin,Min,F,24.58,29,16.6,34.6,17.9,9.6,27,1,84,0.536,93,0.258,0.458,0.5,6.5,3.2,10,0.7,6.4,0.24,0.31,0.69,5.9,98.8,105.8
,Frank Mason,Mil,G,25.92,4,4.4,9.2,22.8,10.2,4,0.5,3,0,4,0.25,0.214,0.285,1.3,0.5,5.6,1.3,33.2,0.25,0,0.25,8.6,85.9,94.3
,Garrison Mathews,Was,G,23.36,16,12.6,26.3,14.6,9.8,32,0.906,8,0.625,42,0.429,0.64,0.726,5.8,1.4,6.2,0.6,6.5,0.19,0.06,0.44,5.4,138.5,108.8
,Wesley Matthews,Mil,G,33.39,58,24.6,51.3,12.6,9.2,58,0.759,112,0.473,257,0.37,0.53,0.551,7.5,2.5,5.1,1.5,7.7,0.55,0.16,0.69,4.9,109.4,101.1
,Patrick McCaw,Tor,G,24.36,34,24.3,50.5,9.7,14.4,18,0.722,89,0.483,64,0.344,0.497,0.513,4.9,2.2,4.9,2.1,11.6,1.03,0.12,0.79,4.7,106.9,104.3
,CJ McCollum,Por,G,28.46,58,36,75,26.7,8.4,150,0.753,709,0.491,430,0.386,0.524,0.542,22.5,4.1,5.9,4.2,18.9,0.72,0.62,1.91,8.1,110,112.7
,T.J. McConnell,Ind,G,27.94,59,18.8,39.1,17.1,18.4,36,0.833,322,0.519,13,0.308,0.516,0.536,6.4,2.6,7.7,5,37.4,0.71,0.19,1.34,9.3,112.9,106.6
,Jalen McDaniels,Cha,F-C,22.09,12,17.1,35.6,13.5,11.1,12,0.75,32,0.5,19,0.368,0.52,0.551,5.2,4.3,13.4,0.8,7.4,0.58,0.25,0.58,6.1,111,99.9
,Doug McDermott,Ind,F,28.17,61,20.1,41.8,19.6,7.3,51,0.824,221,0.543,262,0.439,0.606,0.62,10.3,2.5,7,1.1,8.3,0.11,0.08,0.66,6.1,116.7,105.5
,JaVale McGee,Lal,C-F,32.12,58,16.8,35,15.1,13.2,69,0.652,265,0.653,6,0.5,0.655,0.664,6.9,5.8,19,0.6,4.9,0.47,1.53,0.79,6.9,125.3,92.9
,Rodney McGruder,Lac,G,28.6,47,15.4,32,10.5,11,26,0.5,75,0.507,76,0.276,0.46,0.468,3.2,2.6,8.8,0.6,5.3,0.47,0.17,0.43,4.4,98.2,101.6
,Alfonzo McKinnie,Cle,F,27.46,37,14.3,29.9,15.1,12.2,29,0.69,93,0.548,59,0.203,0.454,0.479,4.3,2.8,10.7,0.4,3.4,0.57,0.16,0.62,4.7,96.1,104.9
,Jordan McLaughlin,Min,G,23.9,26,19.2,40,15.5,12.7,33,0.697,82,0.549,68,0.397,0.57,0.59,7.5,1.7,4.5,4,30.3,1.19,0.15,0.92,7.7,122.6,111.3
,Ben McLemore,Hou,G,27.06,60,23.2,48.4,15.7,8.5,60,0.75,76,0.711,383,0.397,0.614,0.627,10.2,2.2,5,0.9,5.2,0.65,0.2,0.75,4.7,118.6,106.3
,Jordan McRae,Was,G,28.94,29,22.5,47,24.9,9.7,83,0.771,211,0.441,106,0.377,0.483,0.523,12.8,3.6,8.7,2.8,18.6,0.66,0.52,1.31,9,106.1,110.3
,Jordan McRae,Den,G,28.94,4,8.1,16.8,10.4,0,4,0.75,2,0,4,0.5,0.5,0.58,2.3,1.3,8.6,1,15.5,0.5,0.25,0,7.1,143.3,105.4
,Nicolo Melli,Nor,0,29.1,49,16.6,34.6,15.7,12.2,49,0.755,91,0.615,162,0.377,0.583,0.605,6.8,3,9.5,1.1,9.2,0.57,0.37,0.78,6.8,115,103.8
,De'Anthony Melton,Mem,G,21.77,48,19.1,39.8,20,16.8,106,0.821,223,0.48,98,0.306,0.474,0.532,8.1,3.7,10.1,3,21.3,1.27,0.31,1.54,9.4,105.1,102.7
,Chimezie Metu,San,F-C,22.95,16,4.5,9.4,26.1,11.5,8,0.75,34,0.588,1,0,0.571,0.597,2.9,1.6,19.3,0.4,14,0.06,0.25,0.31,10.9,117.3,109.9
,Khris Middleton,Mil,F,28.56,52,29.9,62.2,25.9,10.6,185,0.908,496,0.546,293,0.43,0.583,0.625,20.9,6.3,10.3,4.1,21.3,0.96,0.13,1.98,10.9,120.3,96.5
,Eric Mika,Sac,C,25.16,1,19.1,39.8,8.8,0,2,1,3,0.667,0,0,0.667,0.773,6,7,20.6,0,0,0,0,0,0,170.9,84.5
,CJ Miles,Was,G,32.96,10,16.1,33.5,18.5,5.6,20,0.75,24,0.333,35,0.314,0.415,0.472,6.4,1.2,4.1,1.2,9.8,1,0.4,0.4,5.2,103,111.4
,Malcolm Miller,Tor,G-F,27,25,5,10.4,10.1,10.1,6,0.167,5,0.4,19,0.316,0.458,0.432,0.9,0.6,5.9,0.3,8.2,0.16,0.08,0.12,4.4,91.3,100.7
,Paul Millsap,Den,F,35.06,40,24.3,50.7,20.1,11.7,122,0.836,249,0.502,96,0.438,0.545,0.599,12,5.9,13.5,1.6,9.5,0.85,0.68,1.33,8,118.3,99.8
,Patty Mills,San,G,31.56,60,22.9,47.8,20.7,7.5,103,0.854,180,0.517,381,0.381,0.553,0.585,11.8,1.6,3.7,1.8,11.2,0.85,0.08,0.82,5.7,114.1,111.6
,Shake Milton,Phi,G-F,23.43,29,18.2,37.9,19.4,14.8,44,0.773,88,0.534,94,0.457,0.613,0.638,8.9,2.1,6.5,2.1,17.2,0.52,0.17,1.21,7.5,116.2,101.3
,Donovan Mitchell,Uta,G,23.49,59,34.4,71.7,31.2,11,276,0.855,770,0.505,399,0.368,0.521,0.564,24.7,4.5,7.1,4.2,21.4,1.02,0.2,2.71,9,110.1,105.2
,Naz Mitrou-Long,Ind,G,26.58,3,14.2,29.5,18.6,11.1,0,0,5,0.8,11,0.182,0.438,0.438,4.7,2,7.8,2.3,22.6,0.33,0.33,0.67,7.8,94,110.4
,brewdog Mokoka,Chi,G,21.63,11,10.2,21.2,12.1,6.3,4,0.5,13,0.462,15,0.4,0.536,0.538,2.9,0.9,4.9,0.4,5,0.36,0,0.18,4,114.2,101.4
,Malik Monk,Cha,G,22.08,55,21.3,44.3,22.8,12.6,100,0.82,284,0.542,204,0.284,0.494,0.53,10.3,2.9,7.3,2.1,16.6,0.45,0.29,1.4,7.5,102.3,110.1
,Matt Mooney,Cle,G,23.07,3,1.9,4,14.7,0,0,0,1,1,1,0,0.5,0.5,0.7,0.3,9.6,0.3,26.1,0.33,0.33,0,8.4,,
,E'Twaun Moore,Nor,G,31.02,48,19.1,39.8,20.1,7.6,41,0.659,243,0.453,155,0.381,0.499,0.51,8.8,2.5,6.8,1.5,11.3,0.56,0.19,0.71,6.7,104.3,109.2
,Ja Morant,Mem,G,20.57,55,29.9,62.3,26,16.9,247,0.769,621,0.522,125,0.352,0.523,0.567,17.6,3.4,6,7,35.1,0.91,0.25,3.16,10,109.6,111.5
,Juwan Morgan,Uta,F,22.88,16,4.6,9.6,11.8,15,0,0,12,0.667,5,0.2,0.559,0.559,1.2,1.2,14.1,0.1,3.8,0,0.06,0.19,4.6,107.7,102.5
,Marcus Morris Sr.,Nyk,F,30.5,43,32.3,67.2,24.3,9.2,198,0.823,372,0.444,264,0.439,0.533,0.582,19.6,5.4,8.9,1.4,6.8,0.77,0.4,1.7,6.6,113.1,107.3
,Marcus Morris Sr.,Lac,F,30.5,9,29.7,61.9,16.4,12.3,8,0.875,47,0.532,42,0.286,0.483,0.503,10.3,4,7,1.6,7.2,0.78,1,1.44,5.4,96.2,103.6
,Markieff Morris,Det,F,30.5,44,22.5,46.8,21.8,14.2,79,0.772,200,0.5,189,0.397,0.546,0.573,11,3.9,9.8,1.6,10.9,0.59,0.23,1.59,7.3,104.2,104.3
,Markieff Morris,Lal,F,30.5,5,15.6,32.4,17.2,9.4,4,1,11,0.455,16,0.313,0.463,0.504,5.8,2.6,9.1,0.8,6.7,0.2,0.4,0.6,5.9,107.7,100.7
,Monte Morris,Den,G,24.69,61,21.5,44.9,17.2,8.2,57,0.807,321,0.495,134,0.381,0.518,0.538,8.5,1.8,4.6,3.6,23.7,0.82,0.21,0.7,7.1,117.1,110.3
,Johnathan Motley,Lac,F,24.83,13,3.2,6.6,23.4,21.7,7,0.714,14,0.714,1,1,0.767,0.774,2.2,0.8,12.6,0.5,28.6,0.23,0,0.38,12,,
,Emmanuel Mudiay,Uta,G,24,47,15.9,33.2,22.2,16.8,69,0.754,211,0.512,75,0.36,0.519,0.552,7.4,2.4,8.3,2.3,21.7,0.4,0.21,1.36,8.7,105.4,103.7
,Mychal Mulder,Gol,G,25.73,4,30.4,63.4,15,4.7,4,0.75,9,0.667,30,0.367,0.577,0.589,12,3.8,6.7,1,5,0.25,0.25,0.5,4.7,115,108.3
,Dejounte Murray,San,G,23.45,56,24.8,51.8,20.3,16.4,94,0.798,419,0.504,84,0.393,0.518,0.547,10.6,5.8,12.5,4.1,23.8,1.68,0.27,1.91,10.2,107.7,103.9
,Jamal Murray,Den,G,23.03,51,32.6,67.9,25.2,11.7,171,0.889,505,0.513,274,0.343,0.513,0.557,18.7,3.9,6.6,4.7,22.4,1.2,0.29,2.22,8.6,110.8,108.8
,Dzanan Musa,Bro,G-F,20.82,35,11.6,24.1,19.4,15.5,44,0.75,74,0.473,65,0.231,0.414,0.467,4.2,2,9,0.9,10.9,0.37,0.03,0.83,6.8,93.1,105.7
,Mike Muscala,Okc,F-C,28.67,40,12.2,25.3,16.5,7.7,22,0.818,39,0.538,119,0.361,0.541,0.564,4.7,2.3,10.6,0.9,10,0.2,0.28,0.35,7,113.7,101.6
,Svi Mykhailiuk,Det,G-F,22.73,52,22.4,46.8,16.6,12.8,59,0.864,107,0.439,256,0.414,0.567,0.595,8.9,1.8,4.4,1.7,10.9,0.67,0.08,1.1,5.4,111.1,110.5
,Abdel Nader,Okc,F,26.44,45,15.6,32.6,16.5,12.9,60,0.767,105,0.552,98,0.357,0.544,0.582,5.9,1.8,6.4,0.7,6.5,0.42,0.36,0.76,5,107.1,104.4
,Larry Nance Jr.,Cle,F-C,27.17,52,25.5,53.2,15.2,11.2,62,0.694,247,0.632,145,0.338,0.585,0.599,9.7,7.3,15.8,2.1,12.1,0.9,0.4,1.02,8.3,120.5,109.3
,Shabazz Napier,Min,G,28.64,36,23.8,49.6,19.1,19.1,88,0.818,124,0.54,159,0.296,0.486,0.539,9.6,3.1,6.7,5.2,31.3,1.14,0.19,2.11,9,107.7,108.8
,Shabazz Napier,Was,G,28.64,11,22.7,47.4,20.1,18.2,27,0.852,47,0.489,40,0.375,0.523,0.576,10.4,2.1,5,4,24.2,1.64,0.09,2,7.8,110,110.3
,Raul Neto,Phi,G,27.79,47,11.2,23.3,17.3,18.1,22,0.818,95,0.484,67,0.373,0.515,0.539,3.9,1.1,5.2,1.5,19.4,0.45,0.11,0.81,6.6,102.6,105.5
,Malik Newman,Cle,G,23.03,1,3.7,7.7,44.8,25.8,2,1,1,0,1,0,0,0.347,2,0,0,0,0,0,0,1,0,,
,Georges Niang,Uta,F,26.71,54,13.4,28,16.9,9.3,22,0.864,74,0.541,170,0.418,0.6,0.615,5.8,2,8,0.6,6.6,0.22,0.09,0.48,5.7,115.8,104.3
,Nerlens Noel,Okc,C-F,25.9,52,18.4,38.4,15.3,15.1,94,0.766,237,0.692,3,0.333,0.69,0.716,7.8,4.9,14.8,1,8.2,1.06,1.46,0.96,7.3,131.7,94.3
,Zach Norvell Jr.,Lal,G-F,22.23,2,2.5,5.1,8.6,0,0,0,1,0,0,0,0,0,0,0.5,11.1,0,0,0,0,0,0,,
,Zach Norvell Jr.,Gol,G-F,22.23,3,12,25,17.1,20.8,1,1,3,0,8,0.375,0.409,0.437,3.3,1.7,7.5,1,11.7,0.67,0,1,5.9,77.9,103.8
,Jaylen Nowell,Min,G,20.9,12,10.4,21.7,18.2,5.4,12,0.917,23,0.565,24,0.125,0.372,0.44,3.8,0.9,4.6,1.2,16,0,0,0.25,6.2,101.4,114.5
,Frank Ntilikina,Nyk,G,21.6,52,20.9,43.5,15,17.4,47,0.872,175,0.446,123,0.309,0.453,0.488,6,2.1,5.4,3,20.2,0.94,0.31,1.29,6.4,100.3,104.2
,Kendrick Nunn,Mia,G,24.58,58,30.1,62.7,23.5,10,92,0.837,467,0.518,332,0.355,0.524,0.545,15.8,2.7,5.1,3.5,19.1,0.84,0.19,1.6,7.1,106.4,106.3
,David Nwaba,Bro,G-F,27.13,20,13.4,28,14.2,8.8,27,0.667,43,0.581,28,0.429,0.606,0.627,5.2,2.3,8.6,0.4,4.3,0.55,0.6,0.4,5,119.8,98.7
,Semi Ojeleye,Bos,F,25.25,57,14.1,29.3,8.2,7.1,27,0.889,50,0.46,81,0.358,0.508,0.549,2.8,1.8,7,0.5,4.6,0.32,0.07,0.19,3.9,117.5,104.8
,Jahlil Okafor,Nor,C-F,24.22,28,15.2,31.6,19.8,17.5,58,0.638,142,0.613,2,0.5,0.615,0.631,7.6,4.3,14.8,1.3,12.6,0.25,0.68,1.29,9.2,115.3,100.5
,Elie Okobo,Pho,F-G,22.36,52,13.3,27.8,15,15.1,67,0.687,109,0.431,69,0.362,0.475,0.518,4.1,1.7,7,2.1,21.5,0.48,0.08,0.71,7.4,107.7,107.9
,Josh Okogie,Min,G,21.51,58,24.7,51.5,15.5,15,182,0.791,232,0.534,147,0.259,0.478,0.551,8.7,4.3,9.1,1.6,8.7,1.12,0.45,1.4,6.3,107.7,106.9
,KZ Okpala,Mia,F-G,20.85,5,5.2,10.8,11.6,14.5,2,0.5,4,0.75,1,0,0.6,0.595,1.4,1,10.8,0.2,5.5,0.4,0.2,0.2,5,110.2,101
,Victor Oladipo,Ind,G,27.83,10,25.5,53.1,25.6,13.5,26,0.769,64,0.453,53,0.264,0.427,0.467,12,2.7,5.9,2.4,13.4,0.8,0.1,2,6.7,90.6,108.7
,Kelly Olynyk,Mia,C,28.87,55,19.1,39.7,16.8,15.3,79,0.848,125,0.536,179,0.43,0.6,0.638,7.9,4.5,13.2,1.7,12.8,0.69,0.33,1.11,8.2,116.7,96.3
,Royce O'Neale,Uta,F,26.75,60,29,60.4,9,13.3,45,0.756,105,0.524,187,0.412,0.584,0.601,6.3,5.2,9.9,2.5,11.4,0.77,0.42,0.8,6,120.5,101.1
,Miye Oni,Uta,G-F,22.58,4,2.3,4.7,4.8,100,0,0,0,0,0,0,,,0,0.5,12,0,0,0,0,0.25,0,,
,Kyle O'Quinn,Phi,C-F,29.94,25,10.2,21.3,16.7,18.3,19,0.526,49,0.571,23,0.304,0.535,0.541,3.5,3.8,20.7,1.4,19.5,0.2,0.88,0.72,10.4,112.4,95.5
,Cedi Osman,Cle,F,24.9,61,28.9,60.2,16.4,12.7,84,0.643,259,0.521,294,0.378,0.545,0.557,10.8,3.5,6.7,2.4,11.8,0.8,0.25,1.41,6.2,107.3,110.5
,Kelly Oubre Jr.,Pho,F-G,24.23,56,34.5,71.9,22.4,8.2,246,0.78,519,0.511,307,0.352,0.517,0.56,18.7,6.5,10.4,1.5,6.8,1.25,0.71,1.48,6.6,108.7,103.6
,Tariq Owens,Pho,F,24.68,3,5.1,10.7,16.2,0,2,1,3,0.333,2,0,0.2,0.34,1.3,1,10.8,0,0,0.33,0,0,0,94.7,107.8
,Jeremy Pargo,Gol,G,33.99,3,14.8,30.8,25.5,15.1,1,0,15,0.533,7,0.429,0.568,0.557,8.3,1,3.7,2.7,33,0.33,0,1.33,7.6,102.7,100.9
,Jabari Parker,Atl,F,24.97,32,26.2,54.5,24,12.4,72,0.736,278,0.601,115,0.27,0.543,0.565,15,6,12.2,1.8,11.6,1.31,0.47,1.88,8.3,105.9,105.5
,Jabari Parker,Sac,F,24.97,1,14.6,30.4,20.5,0,2,1,5,0.2,1,0,0.167,0.291,4,4,15.4,2,18,0,0,0,8.7,80.7,106.2
,Chandler Parsons,Atl,F,31.35,5,10.8,22.6,16.1,14.3,0,0,4,0.25,14,0.286,0.389,0.389,2.8,1.4,6.9,0.6,7.5,0.8,0.2,0.6,4.9,76.6,111.6
,Eric Paschall,Gol,F,23.33,57,27.4,57,21.4,11.5,197,0.766,487,0.544,120,0.292,0.523,0.567,13.8,4.7,9.2,1.9,11.3,0.56,0.23,1.58,7.3,108.4,110.2
,Anzejs Pasecniks,Was,C,24.2,21,18.4,38.4,15.9,14.9,52,0.615,101,0.545,2,0,0.534,0.564,6.8,4.5,13.4,0.8,6,0.38,0.52,1.05,6.3,110.3,103.7
,Patrick Patterson,Lac,F,30.97,49,12.1,25.2,15,7.5,34,0.794,45,0.467,138,0.384,0.549,0.576,4.7,2.4,10.3,0.6,7.1,0.12,0.06,0.33,6.3,118.6,104.7
,Justin Patton,Okc,C,22.72,5,4.8,10.1,21.9,16.7,0,0,6,0.5,4,0.25,0.45,0.45,1.8,1,11.4,0.4,12.4,0,0,0.4,7.5,85.6,95.8
,Chris Paul,Okc,G,34.83,60,31.7,66,23,12.7,238,0.895,496,0.552,267,0.36,0.548,0.604,17.5,5,8.7,6.7,33.1,1.52,0.13,2.1,10.6,120.9,103.6
,Gary Payton II,Was,G,27.25,26,15.8,32.9,13.6,14.1,8,0.5,69,0.493,43,0.302,0.478,0.48,4.3,2.8,9.7,1.7,14.3,1.23,0.27,0.73,6.9,103.7,105.5
,Elfrid Payton,Nyk,G,26.03,40,27.6,57.5,19.3,16.7,66,0.53,325,0.468,65,0.215,0.444,0.455,9.5,4.6,8.7,7.1,38.2,1.63,0.4,2.1,9.8,102.3,107.2
,Norvel Pelle,Phi,F,27.08,19,9.3,19.3,13.1,24.4,12,0.5,35,0.514,0,0,0.514,0.521,2.2,3.2,18.8,0.4,5.4,0.05,1.26,0.68,6.1,94.8,86.6
,Theo Pinson,Bro,G-F,24.33,30,11.7,24.3,22.8,16.8,16,0.938,74,0.405,78,0.192,0.345,0.377,4,1.7,7.5,1.8,22.6,0.53,0.07,1.07,7.9,81.8,101.4
,Mason Plumlee,Den,F-C,30,49,17.1,35.7,18.6,18.9,134,0.545,229,0.638,4,0,0.627,0.625,7.4,5.5,17.7,2.4,20.2,0.53,0.57,1.39,10.8,118,96.2
,Jakob Poeltl,San,C,24.38,58,16.6,34.7,13.3,14.9,74,0.486,218,0.619,0,0,0.619,0.611,5.3,5.3,17.3,1.8,14.6,0.52,1.47,0.76,8.9,125.2,104
,Vincent Poirier,Bos,C-F,26.35,21,5.4,11.3,15.8,14.3,7,0.857,31,0.484,2,0.5,0.5,0.54,1.9,1.6,16,0.3,8.6,0.1,0.29,0.29,7.2,110,87.7
,Shamorie Ponds,Tor,G,19.65,4,2.7,5.5,23.7,0,2,1,3,0.667,2,0.5,0.7,0.765,2.3,0.3,5,0.5,33.8,0,0.25,0,10.4,,
,Jordan Poole,Gol,G,20.71,54,22.4,46.7,20.9,10.9,113,0.814,225,0.378,254,0.28,0.4,0.449,8.8,2.1,5,2.4,15.7,0.59,0.17,1.2,6.3,91.5,111
,Kevin Porter Jr.,Cle,G-F,19.83,49,23.5,49,20.6,16.7,99,0.727,262,0.508,158,0.335,0.506,0.536,10.1,3.3,7.7,2.2,13.8,0.94,0.29,1.9,7.1,99.2,105.6
,Michael Porter Jr.,Den,F,21.68,45,14.2,29.5,22.2,10.4,43,0.767,176,0.545,98,0.429,0.58,0.599,7.8,4.3,17,0.8,8.3,0.4,0.42,0.76,8.4,114.9,98.8
,Otto Porter Jr.,Chi,F,26.75,10,24.3,50.6,19.6,6.3,22,0.727,50,0.46,45,0.422,0.542,0.568,11.9,3.2,7.2,1.7,10.8,0.9,0.4,0.7,6.6,115.9,106.1
,Bobby Portis,Nyk,F,25.06,61,20.9,43.5,21.2,10.8,85,0.765,355,0.49,176,0.352,0.503,0.527,9.8,5.1,13.1,1.5,11.1,0.49,0.25,1.13,8.1,105.7,107.1
,Kristaps Porzingis,Dal,F-C,24.59,47,30.8,64.1,26.6,8.5,216,0.773,399,0.479,330,0.358,0.505,0.548,19.2,9.3,15.9,1.6,8.2,0.7,1.98,1.64,8.6,109.5,100.5
,Dwight Powell,Dal,F-C,28.62,40,26.5,55.2,12.7,11.8,111,0.667,190,0.716,39,0.256,0.659,0.677,9.4,5.7,11.2,1.5,7.7,0.88,0.53,0.93,6.5,132.5,103.4
,Norman Powell,Tor,G,26.78,41,28.9,60.3,21.1,10.4,119,0.832,257,0.588,215,0.391,0.587,0.623,15.9,3.8,6.9,1.7,9.3,1.22,0.39,1.49,6.5,115.4,102.5
,Taurean Prince,Bro,F,25.95,60,29.1,60.6,20.2,14.2,78,0.769,280,0.432,408,0.35,0.488,0.506,12.2,5.9,10.5,1.9,9.6,0.9,0.4,2,7.1,94.9,101.8
,Julius Randle,Nyk,C-F,25.26,59,32.6,67.9,27.5,14.3,323,0.721,708,0.513,219,0.265,0.485,0.53,19.2,9.7,15.9,3.3,16.5,0.78,0.36,3.03,10.4,103.2,105.8
,Josh Reaves,Dal,G-F,22.75,2,0.8,1.6,28.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Cam Reddish,Atl,F-G,20.51,54,26.6,55.4,18.5,13.1,119,0.798,276,0.409,229,0.319,0.441,0.484,10,3.7,7.5,1.5,8.1,1.06,0.48,1.56,5.7,93.2,110.2
