Rk,Team,G,MP,FG%,Dist.,2P,0-3,10-Mar,16-Oct,16-3pt,3P,2P,0-3,10-Mar,16-Oct,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
1,Atlanta Hawks,63,15245,0.448,14,0.604,0.292,0.156,0.097,0.059,0.396,0.524,0.657,0.409,0.396,0.378,0.331,0.525,0.087,425,0.269,773,0.742,0.203,0.349,12,1
2,Boston Celtics,60,14525,0.462,13.8,0.618,0.278,0.177,0.095,0.069,0.382,0.522,0.662,0.391,0.445,0.399,0.364,0.494,0.051,243,0.317,896,0.705,0.177,0.373,15,0
3,Brooklyn Nets,60,14600,0.444,13.6,0.58,0.321,0.153,0.067,0.039,0.42,0.518,0.642,0.354,0.372,0.393,0.342,0.52,0.071,334,0.327,888,0.77,0.219,0.365,12,0
4,Chicago Bulls,61,14715,0.446,13.6,0.602,0.343,0.148,0.055,0.056,0.398,0.51,0.626,0.355,0.368,0.353,0.349,0.488,0.075,359,0.309,851,0.806,0.226,0.374,10,0
5,Charlotte Hornets,61,14740,0.431,13.5,0.603,0.303,0.194,0.064,0.043,0.397,0.487,0.625,0.356,0.323,0.348,0.346,0.562,0.061,292,0.3,778,0.802,0.2,0.408,12,0
6,Cleveland Cavaliers,61,14740,0.457,13.3,0.638,0.292,0.186,0.102,0.058,0.362,0.517,0.638,0.412,0.437,0.383,0.351,0.464,0.055,266,0.266,778,0.83,0.183,0.406,7,0
7,Dallas Mavericks,62,14955,0.463,15.3,0.54,0.245,0.162,0.08,0.053,0.46,0.544,0.701,0.407,0.415,0.428,0.368,0.475,0.055,276,0.233,757,0.784,0.197,0.419,17,0
8,Denver Nuggets,61,14790,0.47,13.9,0.662,0.273,0.186,0.101,0.101,0.338,0.528,0.685,0.402,0.403,0.458,0.357,0.557,0.058,282,0.268,823,0.854,0.199,0.396,15,0
9,Detroit Pistons,62,15005,0.46,13.7,0.622,0.281,0.213,0.074,0.055,0.378,0.515,0.659,0.403,0.37,0.408,0.369,0.491,0.06,288,0.306,848,0.881,0.287,0.425,10,1
10,Golden State Warriors,62,15005,0.437,14.4,0.65,0.245,0.168,0.107,0.13,0.35,0.491,0.662,0.376,0.413,0.379,0.336,0.594,0.068,328,0.254,695,0.834,0.183,0.4,11,0
11,Houston Rockets,60,14475,0.454,15,0.51,0.301,0.129,0.043,0.038,0.49,0.553,0.671,0.369,0.408,0.413,0.351,0.427,0.053,262,0.294,894,0.671,0.238,0.384,6,0
12,Indiana Pacers,61,14740,0.476,13.2,0.686,0.298,0.152,0.118,0.119,0.314,0.528,0.646,0.428,0.461,0.425,0.364,0.54,0.036,176,0.3,936,0.875,0.24,0.389,8,0
13,Los Angeles Clippers,61,14715,0.465,13.7,0.633,0.277,0.172,0.105,0.079,0.367,0.521,0.666,0.412,0.411,0.397,0.368,0.47,0.07,344,0.243,708,0.832,0.239,0.386,8,0
14,Los Angeles Lakers,60,14450,0.487,13.3,0.647,0.317,0.148,0.083,0.098,0.353,0.557,0.729,0.406,0.399,0.363,0.359,0.526,0.097,479,0.274,857,0.829,0.26,0.413,8,0
15,Memphis Grizzlies,61,14665,0.47,12.8,0.662,0.295,0.205,0.101,0.061,0.338,0.532,0.663,0.435,0.417,0.407,0.349,0.551,0.058,287,0.275,864,0.877,0.199,0.363,10,0
16,Miami Heat,61,14865,0.469,14.5,0.591,0.256,0.163,0.095,0.077,0.409,0.53,0.686,0.419,0.403,0.399,0.382,0.555,0.075,347,0.231,665,0.841,0.228,0.375,17,0
17,Milwaukee Bucks,61,14690,0.479,14.5,0.579,0.292,0.142,0.082,0.064,0.421,0.566,0.711,0.37,0.47,0.465,0.359,0.501,0.058,300,0.281,905,0.806,0.195,0.408,5,0
18,Minnesota Timberwolves,60,14600,0.44,14.2,0.566,0.306,0.162,0.054,0.043,0.434,0.52,0.637,0.383,0.384,0.374,0.335,0.489,0.043,211,0.321,944,0.792,0.176,0.329,10,1
19,New Orleans Pelicans,61,14765,0.463,14,0.592,0.306,0.143,0.076,0.066,0.408,0.525,0.668,0.366,0.382,0.375,0.373,0.516,0.061,306,0.295,921,0.871,0.234,0.404,19,0
20,New York Knicks,61,14740,0.444,13.1,0.678,0.308,0.16,0.09,0.119,0.322,0.495,0.636,0.361,0.403,0.382,0.338,0.446,0.07,333,0.283,787,0.874,0.199,0.376,7,0
21,Oklahoma City Thunder,61,14740,0.471,13.7,0.654,0.257,0.18,0.132,0.086,0.346,0.534,0.695,0.387,0.466,0.467,0.353,0.463,0.061,290,0.274,743,0.776,0.194,0.352,19,1
22,Orlando Magic,61,14665,0.437,14.8,0.637,0.246,0.174,0.117,0.101,0.363,0.493,0.661,0.394,0.392,0.372,0.337,0.517,0.055,258,0.262,747,0.854,0.135,0.395,20,0
23,Philadelphia 76ers,62,14955,0.464,14,0.642,0.268,0.171,0.113,0.091,0.358,0.522,0.683,0.41,0.399,0.413,0.358,0.523,0.057,284,0.25,760,0.928,0.185,0.396,12,0
24,Phoenix Suns,62,14955,0.463,13.3,0.643,0.3,0.145,0.115,0.082,0.357,0.527,0.648,0.413,0.448,0.397,0.349,0.582,0.055,264,0.271,813,0.895,0.239,0.359,8,0
25,Portland Trail Blazers,62,14930,0.458,14.3,0.63,0.271,0.14,0.119,0.1,0.37,0.51,0.624,0.396,0.427,0.458,0.371,0.4,0.047,237,0.243,730,0.664,0.183,0.401,11,0
26,Sacramento Kings,61,14790,0.458,14.2,0.605,0.25,0.188,0.09,0.077,0.395,0.52,0.683,0.393,0.414,0.425,0.362,0.468,0.052,252,0.26,776,0.819,0.215,0.38,5,1
27,San Antonio Spurs,60,14550,0.47,14.2,0.68,0.229,0.156,0.146,0.149,0.32,0.516,0.669,0.438,0.452,0.428,0.37,0.482,0.034,165,0.237,728,0.884,0.199,0.402,10,0
28,Toronto Raptors,61,14740,0.458,13.8,0.586,0.323,0.149,0.054,0.059,0.414,0.519,0.646,0.364,0.372,0.35,0.372,0.529,0.057,282,0.309,890,0.81,0.221,0.38,11,0
29,Utah Jazz,60,14425,0.475,13.8,0.599,0.263,0.203,0.085,0.048,0.401,0.534,0.689,0.406,0.422,0.43,0.387,0.445,0.069,305,0.272,742,0.765,0.253,0.427,17,1
30,Washington Wizards,60,14475,0.464,14.2,0.641,0.26,0.161,0.111,0.109,0.359,0.516,0.698,0.375,0.413,0.394,0.37,0.51,0.049,238,0.286,884,0.826,0.168,0.394,16,1
,League Average,61,14744,0.459,13.9,0.619,0.283,0.166,0.092,0.078,0.381,0.522,0.664,0.394,0.415,0.404,0.357,0.504,0.06,290,0.277,813,0.813,0.209,0.388,11.6,0.2
